apd,ead_number,latency,vtakeoff,vpeak,t_ead,beat_number,bcl
573.5518252940714,,,,,,1,600
,,,,,,1,650
691.5895755553544,1.0,353.7988096619368,-12.706646731570764,-5.732911638965344,,1,700
526.3795388282507,,,,,,1,750
550.8233139584974,,,,,,1,800
612.35779763617,,,,,,1,850
539.3577617334432,,,,,,1,900
660.9337725351974,1.0,344.2069017917599,-14.273750237942364,-12.734625240134744,,1,950
619.8526409544309,1.0,361.3162679192748,-14.896693843589716,-14.850993338920173,,1,1000
688.8922515572327,1.0,351.5889587467747,-14.660771376306862,-12.37137027503657,,1,1050
674.5562875046389,1.0,343.3440055662763,-13.848186244239722,-9.615056712960673,,1,1100
676.4982714307803,1.0,345.7457990894607,-13.476661664662029,-8.666714877369138,,1,1150
680.473895372068,1.0,349.6767320451204,-13.21109490950796,-7.83724696912494,,1,1200
684.8856523173881,1.0,351.86425601062757,-12.998550553639642,-7.146636172539897,,1,1250
689.4669075047932,1.0,350.9401019675597,-12.833738995913135,-6.507801408740245,,1,1300
693.9012601362829,1.0,356.6426620884561,-12.701632621411626,-5.968242518737111,,1,1350
698.3845938598218,1.0,359.4968150475829,-12.572805564202666,-5.421772649415042,,1,1400
702.9245219964574,1.0,359.94313179214225,-12.520196732290424,-4.839155126102059,,1,1450
706.8579076517915,1.0,361.13195937485415,-12.383580640369496,-4.460531695397953,,1,1500
711.1399662578733,1.0,365.2289354887522,-12.302867652126976,-4.011442909460372,,1,1550
715.2247700196295,1.0,365.72588508333996,-12.254160470924484,-3.545682362485456,,1,1600
718.6133847602147,1.0,370.648415940472,-12.170043717155526,-3.17289539444875,,1,1650
722.4821422860748,1.0,370.11729229293775,-12.118964330122834,-2.817039535694336,,1,1700
726.2125733570448,1.0,370.3251348707317,-12.059828706318726,-2.466767094495049,,1,1750
729.698906400049,1.0,374.3428567958718,-12.013531846312048,-2.135965971939437,,1,1800
733.0040122420988,1.0,374.8457851612663,-11.972469497212066,-1.8010614607733375,,1,1850
736.3023414787208,1.0,375.7270134158713,-11.940724897080475,-1.4681887170673942,,1,1900
739.4914161102635,1.0,379.40802491074356,-11.904231208102797,-1.1863704982272445,,1,1950
743.4490683734049,1.0,381.7010700541919,-11.85646472292991,-0.8902148802734781,,1,2000
