Sample	Type	RR(ms)
3300419	0	1072	
3300506	2	450	
3300695	0	1083	
3300780	2	444	
3300967	0	1066	
3301054	2	450	
3301236	0	1044	
3301323	2	450	
3301504	0	1038	
3301589	2	438	
3301774	0	1061	
3301861	2	450	
3302043	0	1038	
3302128	2	444	
3302312	0	1055	
3302399	2	450	
3302582	0	1050	
3302669	2	450	
3302854	0	1061	
3302941	2	450	
3303132	0	1094	
3303218	2	444	
3303406	0	1077	
3303492	2	444	
3303683	0	1094	
3303769	2	444	
3303958	0	1083	
3304045	2	450	
3304230	0	1061	
3304317	2	450	
3304524	0	1183	
3304609	2	438	
3304807	0	1133	
3304893	2	444	
3305080	0	1072	
3305166	2	444	
3305355	0	1083	
3305442	2	450	
3305629	0	1072	
3305716	2	450	
3305906	0	1088	
3305993	2	450	
3306188	0	1116	
3306274	2	444	
3306467	0	1105	
3306553	2	444	
3306738	0	1061	
3306825	2	450	
3307005	0	1033	
3307092	2	450	
3307276	0	1055	
3307363	2	450	
3307545	0	1044	
3307631	2	444	
3307832	0	1150	
3307917	2	438	
3308109	0	1100	
3308195	2	444	
3308386	0	1094	
3308471	2	438	
3308661	0	1088	
3308747	2	444	
3308928	0	1038	
3309014	2	444	
3309203	0	1083	
3309289	2	444	
3309478	0	1083	
3309563	2	438	
3309753	0	1083	
3309839	2	450	
3310032	0	1105	
3310118	2	444	
3310302	0	1050	
3310389	2	455	
3310574	0	1061	
3310661	2	450	
3310838	0	1016	
3310925	2	450	
3311099	0	994	
3311185	2	450	
3311358	0	988	
3311446	2	461	
3311611	0	950	
3311698	2	450	
3311864	0	950	
3311953	2	466	
3312123	0	977	
3312209	2	444	
3312387	0	1022	
3312474	2	450	
3312652	0	1022	
3312737	2	438	
3312922	0	1061	
3313009	2	450	
3313199	0	1088	
3313286	2	450	
3313477	0	1094	
3313561	2	433	
3313756	0	1116	
3313842	2	444	
3314040	0	1133	
3314126	2	444	
3314322	0	1122	
3314408	2	444	
3314603	0	1116	
3314690	2	450	
3314886	0	1122	
3314971	2	438	
3315174	0	1161	
3315260	2	444	
3315456	0	1122	
3315542	2	444	
3315745	0	1161	
3315831	2	444	
3316033	0	1155	
3316119	2	444	
3316315	0	1122	
3316402	2	450	
3316601	0	1138	
3316687	2	444	
3316880	0	1105	
3316966	2	444	
3317167	0	1150	
3317253	2	444	
3317460	0	1183	
3317545	2	438	
3317749	0	1166	
3317834	2	438	
3318041	0	1183	
3318126	2	438	
3318332	0	1177	
3318417	2	438	
3318613	0	1122	
3318699	2	444	
3318898	0	1138	
3318984	2	444	
3319186	0	1155	
3319271	2	438	
3319463	0	1100	
3319550	2	450	
3319746	0	1122	
3319832	2	444	
3320031	0	1138	
3320117	2	444	
3320311	0	1111	
3320398	2	450	
3320596	0	1133	
3320683	2	450	
3320880	0	1127	
3320966	2	444	
3321175	0	1194	
3321261	2	444	
3321488	0	1294	
3321572	2	433	
3321802	0	1311	
3321886	2	433	
3322098	0	1211	
3322183	2	438	
3322392	0	1194	
3322477	2	438	
3322684	0	1183	
3322769	2	438	
3322982	0	1216	
3323067	2	438	
3323270	0	1161	
3323355	2	438	
3323553	0	1133	
3323639	2	444	
3323828	0	1077	
3323915	2	455	
3324116	0	1144	
3324202	2	450	
3324407	0	1172	
3324493	2	444	
3324696	0	1155	
3324781	2	444	
3324985	0	1166	
3325070	2	438	
3325270	0	1144	
3325356	2	444	
3325545	0	1083	
3325631	2	444	
3325815	0	1055	
3325903	2	455	
3326094	0	1094	
3326181	2	450	
3326382	0	1150	
3326468	2	444	
3326668	0	1144	
3326754	2	444	
3326958	0	1166	
3327043	2	438	
3327259	0	1233	
3327344	2	438	
3327545	0	1150	
3327631	2	444	
3327835	0	1166	
3327921	2	444	
3328122	0	1150	
3328207	2	438	
3328398	0	1094	
3328485	2	450	
3328681	0	1122	
3328767	2	444	
3328968	0	1150	
3329053	2	438	
3329250	0	1127	
3329336	2	444	
3329537	0	1150	
3329623	2	444	
3329819	0	1122	
3329905	2	444	
3330095	0	1088	
3330182	2	450	
3330370	0	1077	
3330457	2	450	
3330645	0	1077	
3330732	2	450	
3330918	0	1061	
3331005	2	455	
3331196	0	1094	
3331280	2	433	
3331484	0	1166	
3331570	2	444	
3331774	0	1166	
3331859	2	438	
3332063	0	1166	
3332148	2	438	
3332355	0	1183	
3332440	2	438	
3332642	0	1155	
3332727	2	438	
3332931	0	1166	
3333017	2	444	
3333220	0	1161	
3333306	2	444	
3333514	0	1188	
3333599	2	438	
3333828	0	1305	
3333912	2	433	
3334127	0	1227	
3334212	2	438	
3334423	0	1205	
3334509	2	444	
3334714	0	1172	
3334799	2	438	
3335004	0	1172	
3335090	2	444	
3335291	0	1150	
3335377	2	444	
3335582	0	1172	
3335668	2	444	
3335875	0	1183	
3335960	2	438	
3336163	0	1161	
3336249	2	444	
3336452	0	1161	
3336538	2	444	
3336739	0	1150	
3336824	2	438	
3337022	0	1133	
3337108	2	444	
3337303	0	1116	
3337389	2	444	
3337597	0	1188	
3337682	2	438	
3337891	0	1194	
3337976	2	438	
3338187	0	1205	
3338272	2	438	
3338478	0	1177	
3338562	2	433	
3338764	0	1155	
3338849	2	438	
3339055	0	1177	
3339140	2	438	
3339341	0	1150	
3339426	2	438	
3339629	0	1161	
3339714	2	438	
3339910	0	1122	
3339995	2	438	
3340190	0	1116	
3340276	2	444	
3340465	0	1083	
3340552	2	450	
3340741	0	1083	
3340828	2	450	
3341014	0	1061	
3341099	2	444	
3341289	0	1088	
3341375	2	444	
3341572	0	1127	
3341658	2	444	
3341857	0	1138	
3341942	2	438	
3342136	0	1111	
3342222	2	444	
3342413	0	1094	
3342499	2	444	
3342697	0	1133	
3342783	2	444	
3342985	0	1155	
3343071	2	444	
3343267	0	1122	
3343353	2	444	
3343552	0	1138	
3343638	2	444	
3343839	0	1150	
3343925	2	444	
3344119	0	1111	
3344205	2	444	
3344408	0	1161	
3344493	2	438	
3344689	0	1122	
3344775	2	444	
3344959	0	1055	
3345046	2	450	
3345228	0	1044	
3345316	2	455	
3345502	0	1066	
3345587	2	438	
3345781	0	1111	
3345867	2	444	
3346061	0	1111	
3346147	2	444	
3346340	0	1105	
3346425	2	438	
3346618	0	1105	
3346704	2	444	
3346897	0	1105	
3346983	2	444	
3347175	0	1100	
3347261	2	444	
3347458	0	1127	
3347544	2	444	
3347742	0	1133	
3347827	2	438	
3348035	0	1188	
3348120	2	438	
3348325	0	1172	
3348410	2	438	
3348618	0	1188	
3348703	2	438	
3348910	0	1183	
3348995	2	438	
3349206	0	1205	
3349291	2	438	
3349500	0	1194	
3349585	2	438	
3349792	0	1183	
3349877	2	438	
3350082	0	1172	
3350167	2	438	
3350374	0	1183	
3350459	2	438	
3350659	0	1144	
3350745	2	444	
3350938	0	1105	
3351025	2	450	
3351217	0	1100	
3351302	2	438	
3351495	0	1105	
3351582	2	450	
3351773	0	1094	
3351858	2	438	
3352053	0	1116	
3352139	2	444	
3352336	0	1127	
3352422	2	444	
3352616	0	1111	
3352702	2	444	
3352894	0	1100	
3352980	2	444	
3353169	0	1083	
3353256	2	450	
3353448	0	1100	
3353534	2	444	
3353731	0	1127	
3353817	2	444	
3354016	0	1138	
3354102	2	444	
3354299	0	1127	
3354385	2	444	
3354578	0	1105	
3354665	2	450	
3354849	0	1055	
3354935	2	444	
3355120	0	1061	
3355208	2	455	
3355392	0	1055	
3355478	2	444	
3355666	0	1077	
3355753	2	450	
3355940	0	1072	
3356025	2	438	
3356216	0	1094	
3356302	2	444	
3356492	0	1088	
3356577	2	438	
3356763	0	1066	
3356850	2	450	
3357036	0	1066	
3357123	2	450	
3357309	0	1066	
3357396	2	450	
3357590	0	1111	
3357674	2	433	
3357876	0	1155	
3357961	2	438	
3358168	0	1183	
3358253	2	438	
3358463	0	1200	
3358548	2	438	
3358757	0	1194	
3358842	2	438	
3359051	0	1194	
3359136	2	438	
3359334	0	1133	
3359420	2	444	
3359612	0	1100	
3359699	2	450	
3359888	0	1083	
3359976	2	455	
3360164	0	1077	
3360249	2	438	
3360445	0	1122	
3360532	2	450	
3360730	0	1133	
3360817	2	450	
3361019	0	1155	
3361105	2	444	
3361307	0	1155	
3361393	2	444	
3361598	0	1172	
3361683	2	438	
3361885	0	1155	
3361971	2	444	
3362161	0	1088	
3362248	2	450	
3362435	0	1072	
3362523	2	455	
3362709	0	1066	
3362796	2	450	
3362986	0	1088	
3363072	2	450	
3363265	0	1100	
3363350	2	438	
3363540	0	1088	
3363626	2	450	
3363816	0	1083	
3363902	2	444	
3364090	0	1077	
3364178	2	455	
3364368	0	1094	
3364454	2	438	
3364645	0	1094	
3364730	2	438	
3364916	0	1066	
3364999	2	433	
3365181	0	1038	
3365269	2	461	
3365437	0	961	
3365524	2	455	
3365686	0	927	
3365774	2	461	
3365930	0	888	
3366020	2	477	
3366169	0	855	
3366260	2	477	
3366405	0	833	
3366498	2	488	
3366642	0	827	
3366738	2	494	
3366892	0	894	
3366983	2	477	
3367163	0	1027	
3367248	2	444	
3367448	0	1138	
3367530	2	427	
3367737	0	1177	
3367819	2	427	
3368022	0	1155	
3368103	2	422	
3368291	0	1066	
3368374	2	438	
3368556	0	1033	
3368639	2	438	
3368815	0	1005	
3368900	2	444	
3369076	0	1000	
3369162	2	450	
3369335	0	994	
3369422	2	450	
3369597	0	1005	
3369684	2	450	
3369857	0	994	
3369943	2	444	
3370113	0	977	
3370200	2	450	
3370369	0	972	
3370456	2	450	
3370631	0	1005	
3370716	2	438	
3370894	0	1022	
3370979	2	438	
3371159	0	1033	
3371243	2	433	
3371426	0	1050	
3371510	2	433	
3371695	0	1061	
3371779	2	433	
3371964	0	1061	
3372048	2	433	
3372233	0	1061	
3372317	2	433	
3372503	0	1066	
3372587	2	433	
3372772	0	1061	
3372857	2	438	
3373041	0	1055	
3373126	2	438	
3373308	0	1044	
3373394	2	444	
3373578	0	1055	
3373663	2	438	
3373846	0	1050	
3373931	2	438	
3374110	0	1027	
3374196	2	444	
3374373	0	1016	
3374459	2	444	
3374640	0	1038	
3374726	2	444	
3374916	0	1088	
3375001	2	438	
3375198	0	1127	
3375282	2	433	
3375480	0	1133	
3375564	2	433	
3375760	0	1122	
3375844	2	433	
3376040	0	1122	
3376124	2	433	
3376321	0	1127	
3376405	2	433	
3376603	0	1133	
3376687	2	433	
3376882	0	1116	
3376966	2	433	
3377161	0	1116	
3377245	2	433	
3377440	0	1116	
3377523	2	427	
3377717	0	1111	
3377801	2	433	
3377995	0	1111	
3378080	2	438	
3378274	0	1111	
3378358	2	433	
3378556	0	1133	
3378640	2	433	
3378842	0	1155	
3378925	2	427	
3379127	0	1155	
3379210	2	427	
3379415	0	1172	
3379498	2	427	
3379708	0	1200	
3379791	2	427	
3380004	0	1216	
3380087	2	427	
3380304	0	1238	
3380387	2	427	
3380602	0	1227	
3380685	2	427	
3380898	0	1216	
3380981	2	427	
3381193	0	1211	
3381275	2	422	
3381487	0	1211	
3381570	2	427	
3381779	0	1194	
3381862	2	427	
3382066	0	1166	
3382150	2	433	
3382351	0	1150	
3382434	2	427	
3382631	0	1127	
3382715	2	433	
3382915	0	1144	
3382998	2	427	
3383203	0	1172	
3383287	2	433	
3383490	0	1161	
3383573	2	427	
3383778	0	1172	
3383861	2	427	
3384063	0	1155	
3384146	2	427	
3384346	0	1144	
3384429	2	427	
3384629	0	1144	
3384711	2	427	
3384907	0	1116	
3384991	2	433	
3385187	0	1122	
3385270	2	427	
3385469	0	1138	
3385552	2	427	
3385750	0	1133	
3385834	2	433	
3386036	0	1155	
3386119	2	427	
3386325	0	1177	
3386408	2	427	
3386615	0	1183	
3386698	2	427	
3386905	0	1183	
3386988	2	427	
3387194	0	1177	
3387276	2	422	
3387482	0	1177	
3387565	2	427	
3387771	0	1177	
3387854	2	427	
3388059	0	1172	
3388141	2	422	
3388349	0	1188	
3388432	2	427	
3388642	0	1200	
3388725	2	427	
3388931	0	1177	
3389014	2	427	
3389221	0	1183	
3389304	2	427	
3389507	0	1161	
3389590	2	427	
3389785	0	1116	
3389869	2	433	
3390067	0	1133	
3390150	2	427	
3390356	0	1177	
3390439	2	427	
3390650	0	1205	
3390732	2	422	
3390948	0	1233	
3391030	2	422	
3391248	0	1244	
3391329	2	416	
3391542	0	1216	
3391624	2	422	
3391834	0	1200	
3391916	2	422	
3392119	0	1161	
3392202	2	427	
3392405	0	1161	
3392487	2	422	
3392692	0	1172	
3392774	2	422	
3392976	0	1155	
3393058	2	422	
3393264	0	1177	
3393346	2	422	
3393553	0	1183	
3393635	2	422	
3393841	0	1177	
3393923	2	422	
3394132	0	1194	
3394213	2	416	
3394421	0	1188	
3394503	2	422	
3394716	0	1216	
3394797	2	416	
3395009	0	1211	
3395092	2	427	
3395304	0	1211	
3395388	2	433	
3395600	0	1211	
3395684	2	433	
3395893	0	1194	
3395978	2	438	
3396187	0	1194	
3396271	2	433	
3396482	0	1205	
3396566	2	433	
3396776	0	1200	
3396860	2	433	
3397070	0	1200	
3397154	2	433	
3397366	0	1211	
3397451	2	438	
3397659	0	1188	
3397743	2	433	
3397952	0	1194	
3398037	2	438	
3398253	0	1233	
3398337	2	433	
3398557	0	1255	
3398640	2	427	
3398864	0	1277	
3398948	2	433	
3399168	0	1255	
3399251	2	427	
3399466	0	1227	
3399550	2	433	
3399755	0	1172	
3399839	2	433	
3400038	0	1138	
3400123	2	438	
3400323	0	1144	
3400408	2	438	
3400605	0	1127	
3400690	2	438	
3400890	0	1144	
3400975	2	438	
3401177	0	1155	
3401262	2	438	
3401463	0	1150	
3401548	2	438	
3401752	0	1166	
3401835	2	416	
3402038	0	1172	
3402123	2	438	
3402324	0	1150	
3402409	2	438	
3402612	0	1161	
3402697	2	438	
3402897	0	1144	
3402982	2	438	
3403186	0	1166	
3403271	2	438	
3403470	0	1138	
3403556	2	444	
3403753	0	1127	
3403838	2	438	
3404033	0	1116	
3404117	2	433	
3404317	0	1144	
3404402	2	438	
3404605	0	1161	
3404690	2	438	
3404899	0	1194	
3404984	2	438	
3405195	0	1205	
3405279	2	433	
3405499	0	1255	
3405583	2	433	
3405810	0	1294	
3405893	2	427	
3406119	0	1288	
3406203	2	433	
3406425	0	1266	
3406509	2	433	
3406727	0	1244	
3406811	2	433	
3407024	0	1216	
3407109	2	438	
3407320	0	1205	
3407405	2	438	
3407616	0	1205	
3407701	2	438	
3407913	0	1211	
3407998	2	438	
3408212	0	1222	
3408297	2	438	
3408511	0	1222	
3408596	2	438	
3408805	0	1194	
3408891	2	444	
3409102	0	1205	
3409188	2	444	
3409406	0	1244	
3409492	2	444	
3409720	0	1300	
3409805	2	438	
3410034	0	1305	
3410118	2	433	
3410337	0	1250	
3410422	2	438	
3410629	0	1183	
3410715	2	444	
3410914	0	1138	
3411001	2	450	
3411195	0	1111	
3411282	2	450	
3411475	0	1105	
3411562	2	450	
3411755	0	1105	
3411842	2	450	
3412037	0	1116	
3412124	2	450	
3412326	0	1155	
3412412	2	444	
3412615	0	1161	
3412701	2	444	
3412914	0	1216	
3412999	2	438	
3413209	0	1200	
3413295	2	444	
3413501	0	1177	
3413587	2	444	
3413790	0	1161	
3413876	2	444	
3414075	0	1138	
3414162	2	450	
3414356	0	1111	
3414444	2	455	
3414635	0	1094	
3414722	2	450	
3414918	0	1122	
3415005	2	450	
3415204	0	1138	
3415291	2	450	
3415495	0	1166	
3415581	2	444	
3415784	0	1161	
3415871	2	450	
3416077	0	1177	
3416163	2	444	
3416367	0	1166	
3416454	2	450	
3416657	0	1161	
3416744	2	450	
3416947	0	1161	
3417035	2	455	
3417238	0	1161	
3417325	2	450	
3417520	0	1116	
3417608	2	455	
3417797	0	1083	
3417886	2	461	
3418067	0	1038	
3418156	2	461	
3418335	0	1027	
3418423	2	455	
3418607	0	1055	
3418696	2	461	
3418888	0	1100	
3418974	2	444	
3419175	0	1150	
3419262	2	450	
3419464	0	1155	
3419551	2	450	
3419754	0	1161	
3419841	2	450	
3420047	0	1177	
3420134	2	450	
3420339	0	1172	
3420426	2	450	
3420632	0	1177	
3420720	2	455	
3420927	0	1183	
3421015	2	455	
3421227	0	1211	
3421314	2	450	
3421530	0	1233	
3421617	2	450	
3421829	0	1211	
3421916	2	450	
3422125	0	1194	
3422213	2	455	
3422423	0	1200	
3422510	2	450	
3422713	0	1155	
3422801	2	461	
3423004	0	1161	
3423090	2	444	
3423292	0	1155	
3423380	2	455	
3423577	0	1127	
3423664	2	450	
3423860	0	1116	
3423948	2	466	
3424141	0	1100	
3424228	2	450	
3424421	0	1105	
3424509	2	461	
3424705	0	1116	
3424791	2	450	
3424994	0	1150	
3425080	2	450	
3425289	0	1194	
3425375	2	450	
3425582	0	1177	
3425668	2	444	
3425869	0	1150	
3425957	2	455	
3426148	0	1094	
3426235	2	450	
3426422	0	1072	
3426510	2	455	
3426694	0	1055	
3426781	2	450	
3426957	0	1011	
3427046	2	461	
3427217	0	983	
3427308	2	472	
3427478	0	977	
3427568	2	466	
3427741	0	994	
3427831	2	466	
3428010	0	1027	
3428099	2	461	
3428286	0	1072	
3428373	2	450	
3428576	0	1161	
3428660	2	433	
3428875	0	1227	
3428959	2	433	
3429176	0	1238	
3429259	2	427	
3429475	0	1233	
3429558	2	427	
3429771	0	1216	
3429854	2	427	
3430062	0	1188	
3430146	2	433	
3430349	0	1161	
3430433	2	433	
3430629	0	1122	
3430714	2	438	
3430911	0	1122	
3430996	2	444	
3431200	0	1166	
3431283	2	433	
3431491	0	1183	
3431575	2	433	
3431782	0	1183	
3431865	2	427	
3432074	0	1194	
3432158	2	433	
3432365	0	1183	
3432448	2	427	
3432660	0	1211	
3432743	2	427	
3432957	0	1222	
3433041	2	433	
3433254	0	1216	
3433338	2	433	
3433550	0	1211	
3433634	2	433	
3433848	0	1222	
3433932	2	433	
3434151	0	1250	
3434234	2	427	
3434459	0	1283	
3434542	2	427	
3434766	0	1277	
3434849	2	427	
3435065	0	1233	
3435148	2	427	
3435359	0	1205	
3435442	2	427	
3435648	0	1177	
3435732	2	433	
3435937	0	1172	
3436021	2	433	
3436227	0	1177	
3436311	2	433	
3436518	0	1183	
3436602	2	433	
3436811	0	1194	
3436894	2	427	
3437105	0	1205	
3437188	2	427	
3437402	0	1222	
3437485	2	427	
3437699	0	1222	
3437782	2	427	
3437999	0	1238	
3438081	2	422	
3438301	0	1255	
3438383	2	422	
3438603	0	1255	
3438685	2	422	
3438904	0	1250	
3438985	2	416	
3439205	0	1255	
3439290	2	438	
3439504	0	1222	
3439590	2	444	
3439802	0	1211	
3439887	2	438	
3440099	0	1211	
3440185	2	444	
3440396	0	1205	
3440481	2	438	
3440689	0	1188	
3440775	2	444	
3440982	0	1183	
3441068	2	444	
3441273	0	1172	
3441360	2	450	
3441566	0	1177	
3441652	2	444	
3441865	0	1216	
3441951	2	444	
3442162	0	1205	
3442248	2	444	
3442461	0	1216	
3442547	2	444	
3442756	0	1194	
3442842	2	444	
3443055	0	1216	
3443141	2	444	
3443352	0	1205	
3443438	2	444	
3443648	0	1200	
3443734	2	444	
3443944	0	1200	
3444031	2	450	
3444239	0	1188	
3444326	2	450	
3444538	0	1211	
3444624	2	444	
3444837	0	1216	
3444923	2	444	
3445135	0	1211	
3445221	2	444	
3445426	0	1172	
3445513	2	450	
3445724	0	1205	
3445811	2	450	
3446024	0	1216	
3446111	2	450	
3446321	0	1200	
3446408	2	450	
3446621	0	1216	
3446707	2	444	
3446916	0	1194	
3447003	2	450	
3447215	0	1211	
3447302	2	450	
3447515	0	1216	
3447602	2	450	
3447813	0	1205	
3447899	2	444	
3448116	0	1238	
3448203	2	450	
3448415	0	1211	
3448503	2	455	
3448714	0	1205	
3448801	2	450	
3449015	0	1222	
3449102	2	450	
3449316	0	1222	
3449403	2	450	
3449611	0	1188	
3449699	2	455	
3449909	0	1200	
3449996	2	450	
3450211	0	1227	
3450298	2	450	
3450513	0	1227	
3450600	2	450	
3450822	0	1266	
3450908	2	444	
3451129	0	1261	
3451215	2	444	
3451436	0	1261	
3451523	2	450	
3451743	0	1255	
3451830	2	450	
3452042	0	1211	
3452129	2	450	
3452342	0	1216	
3452429	2	450	
3452640	0	1205	
3452727	2	450	
3452934	0	1183	
3453022	2	455	
3453230	0	1188	
3453318	2	455	
3453527	0	1194	
3453614	2	450	
3453831	0	1238	
3453918	2	450	
3454137	0	1250	
3454223	2	444	
3454443	0	1255	
3454529	2	444	
3454753	0	1277	
3454839	2	444	
3455057	0	1244	
3455143	2	444	
3455363	0	1255	
3455449	2	444	
3455666	0	1238	
3455753	2	450	
3455967	0	1222	
3456054	2	450	
3456271	0	1238	
3456357	2	444	
3456576	0	1250	
3456663	2	450	
3456883	0	1255	
3456969	2	444	
3457186	0	1238	
3457272	2	444	
3457492	0	1255	
3457578	2	444	
3457801	0	1272	
3457887	2	444	
3458112	0	1283	
3458198	2	444	
3458414	0	1233	
3458500	2	444	
3458713	0	1216	
3458799	2	444	
3459010	0	1205	
3459098	2	455	
3459300	0	1155	
3459388	2	455	
3459585	0	1127	
3459673	2	455	
3459859	0	1066	
3459949	2	466	
3460130	0	1038	
3460219	2	461	
3460402	0	1050	
3460492	2	466	
3460682	0	1088	
3460769	2	450	
3460968	0	1138	
3461056	2	455	
3461261	0	1172	
3461348	2	450	
3461557	0	1194	
3461644	2	450	
3461850	0	1177	
3461937	2	450	
3462145	0	1188	
3462231	2	444	
3462437	0	1177	
3462524	2	450	
3462726	0	1155	
3462813	2	450	
3463018	0	1172	
3463105	2	450	
3463310	0	1172	
3463397	2	450	
3463605	0	1188	
3463693	2	455	
3463903	0	1200	
3463990	2	450	
3464203	0	1216	
3464290	2	450	
3464502	0	1211	
3464589	2	450	
3464796	0	1183	
3464883	2	450	
3465093	0	1200	
3465179	2	444	
3465388	0	1194	
3465476	2	455	
3465684	0	1188	
3465770	2	444	
3465977	0	1183	
3466064	2	450	
3466269	0	1172	
3466355	2	444	
3466559	0	1166	
3466647	2	455	
3466840	0	1105	
3466927	2	450	
3467118	0	1094	
3467207	2	461	
3467395	0	1077	
3467482	2	450	
3467674	0	1100	
3467763	2	461	
3467959	0	1122	
3468046	2	450	
3468246	0	1144	
3468334	2	455	
3468538	0	1166	
3468624	2	444	
3468833	0	1194	
3468920	2	450	
3469127	0	1183	
3469215	2	455	
3469426	0	1205	
3469512	2	444	
3469727	0	1227	
3469814	2	450	
3470022	0	1188	
3470110	2	455	
3470318	0	1188	
3470406	2	455	
3470613	0	1183	
3470701	2	455	
3470910	0	1194	
3470998	2	455	
3471212	0	1222	
3471300	2	455	
3471513	0	1216	
3471601	2	455	
3471812	0	1205	
3471900	2	455	
3472108	0	1188	
3472194	2	444	
3472404	0	1200	
3472492	2	455	
3472698	0	1177	
3472785	2	450	
3472995	0	1200	
3473084	2	461	
3473294	0	1200	
3473380	2	444	
3473593	0	1216	
3473681	2	455	
3473894	0	1216	
3473981	2	450	
3474192	0	1205	
3474280	2	455	
3474489	0	1194	
3474576	2	450	
3474783	0	1183	
3474872	2	461	
3475071	0	1138	
3475159	2	455	
3475360	0	1150	
3475450	2	466	
3475661	0	1205	
3475748	2	450	
3475970	0	1266	
3476057	2	450	
3476281	0	1277	
3476368	2	450	
3476595	0	1294	
3476682	2	450	
3476904	0	1266	
3476991	2	450	
3477203	0	1211	
3477291	2	455	
3477495	0	1166	
3477583	2	455	
3477787	0	1166	
3477876	2	461	
3478086	0	1200	
3478174	2	455	
3478391	0	1238	
3478479	2	455	
3478692	0	1216	
3478780	2	455	
3478985	0	1172	
3479074	2	461	
3479275	0	1150	
3479364	2	461	
3479565	0	1150	
3479653	2	455	
3479857	0	1166	
3479946	2	461	
3480155	0	1194	
3480242	2	450	
3480461	0	1250	
3480548	2	450	
3480768	0	1255	
3480855	2	450	
3481069	0	1222	
3481157	2	455	
3481373	0	1233	
3481461	2	455	
3481674	0	1216	
3481762	2	455	
3481974	0	1211	
3482060	2	444	
3482273	0	1216	
3482361	2	455	
3482571	0	1200	
3482658	2	450	
3482872	0	1222	
3482960	2	455	
3483174	0	1222	
3483260	2	444	
3483473	0	1216	
3483561	2	455	
3483774	0	1216	
3483862	2	455	
3484074	0	1211	
3484160	2	444	
3484379	0	1250	
3484466	2	450	
3484686	0	1255	
3484774	2	455	
3484996	0	1266	
3485083	2	450	
3485308	0	1283	
3485396	2	455	
3485616	0	1255	
3485704	2	455	
3485918	0	1222	
3486006	2	455	
3486212	0	1177	
3486301	2	461	
3486503	0	1155	
3486591	2	455	
3486796	0	1172	
3486885	2	461	
3487093	0	1188	
3487181	2	455	
3487392	0	1205	
3487481	2	461	
3487697	0	1233	
3487783	2	444	
3488002	0	1250	
3488090	2	455	
3488308	0	1244	
3488396	2	455	
3488607	0	1205	
3488696	2	461	
3488908	0	1211	
3488997	2	461	
3489209	0	1211	
3489296	2	450	
3489505	0	1194	
3489594	2	461	
3489801	0	1183	
3489888	2	450	
3490097	0	1194	
3490186	2	461	
3490389	0	1161	
3490478	2	461	
3490690	0	1211	
3490777	2	450	
3490997	0	1255	
3491084	2	450	
3491308	0	1277	
3491394	2	444	
3491622	0	1300	
3491709	2	450	
3491927	0	1244	
3492014	2	450	
3492231	0	1238	
3492319	2	455	
3492531	0	1211	
3492619	2	455	
3492834	0	1227	
3492922	2	455	
3493134	0	1211	
3493223	2	461	
3493432	0	1194	
3493520	2	455	
3493726	0	1177	
3493815	2	461	
3494021	0	1177	
3494110	2	461	
3494318	0	1188	
3494405	2	450	
3494617	0	1211	
3494705	2	455	
3494916	0	1205	
3495004	2	455	
3495208	0	1166	
3495297	2	461	
3495496	0	1138	
3495583	2	450	
3495782	0	1138	
3495871	2	461	
3496069	0	1133	
3496157	2	455	
3496357	0	1144	
3496447	2	466	
3496644	0	1127	
3496732	2	455	
3496927	0	1116	
3497017	2	466	
3497209	0	1100	
3497297	2	455	
3497494	0	1127	
3497582	2	455	
3497781	0	1138	
3497870	2	461	
3498059	0	1083	
3498147	2	455	
3498336	0	1083	
3498427	2	472	
3498616	0	1083	
3498704	2	455	
3498900	0	1122	
3498990	2	466	
3499185	0	1116	
3499273	2	455	
3499477	0	1166	
3499566	2	461	
3499768	0	1155	
3499855	2	450	
3500062	0	1183	
3500150	2	455	
3500353	0	1161	
3500440	2	450	
3500645	0	1172	
3500733	2	455	
3500940	0	1183	
3501027	2	450	
3501233	0	1177	
3501321	2	455	
3501527	0	1177	
3501614	2	450	
3501820	0	1172	
3501909	2	466	
3502110	0	1150	
3502195	2	444	
3502394	0	1133	
3502482	2	461	
3502674	0	1094	
3502762	2	455	
3502954	0	1100	
3503043	2	466	
3503233	0	1083	
3503321	2	455	
3503511	0	1088	
3503598	2	450	
3503783	0	1061	
3503869	2	450	
3504056	0	1066	
3504142	2	450	
3504327	0	1055	
3504415	2	455	
3504595	0	1033	
3504683	2	455	
3504861	0	1022	
3504948	2	450	
3505124	0	1011	
3505212	2	455	
3505388	0	1011	
3505476	2	455	
3505651	0	1005	
3505739	2	455	
3505917	0	1022	
3506004	2	450	
3506191	0	1072	
3506277	2	444	
3506473	0	1122	
3506558	2	438	
3506758	0	1144	
3506842	2	433	
3507052	0	1200	
3507135	2	427	
3507349	0	1222	
3507432	2	427	
3507639	0	1183	
3507723	2	433	
3507930	0	1183	
3508014	2	433	
3508219	0	1172	
3508303	2	433	
3508509	0	1177	
3508592	2	427	
3508801	0	1194	
3508885	2	433	
3509095	0	1200	
3509178	2	427	
3509390	0	1211	
3509473	2	427	
3509685	0	1211	
3509768	2	427	
3509975	0	1183	
3510059	2	433	
3510271	0	1211	
3510355	2	433	
3510569	0	1222	
3510652	2	427	
3510868	0	1233	
3510951	2	427	
3511171	0	1255	
3511254	2	427	
3511471	0	1238	
3511553	2	422	
3511777	0	1277	
3511859	2	422	
3512092	0	1327	
3512174	2	422	
