VN,segment,nn_avg,VV,NV,NN
207.0,0,128.00877192982455,237.2510338584364,30.251033858436386,118.6255169292182
219.0,0,128.00877192982455,247.85022041937614,28.850220419376143,123.92511020968807
222.0,0,128.00877192982455,250.53887091950446,28.53887091950446,125.26943545975223
222.0,0,128.00877192982455,250.52862880768393,28.52862880768393,125.26431440384196
216.0,0,128.00877192982455,245.22145397937695,29.221453979376946,122.61072698968847
207.0,0,128.00877192982455,237.24326953196223,30.243269531962227,118.62163476598111
204.0,0,128.00877192982455,234.59001599794564,30.590015997945642,117.29500799897282
198.0,0,128.00877192982455,229.28418204111836,31.284182041118356,114.64209102055918
195.0,0,128.00877192982455,226.62864968319803,31.628649683198034,113.31432484159902
186.0,0,128.00877192982455,218.66421797569143,32.66421797569143,109.33210898784571
183.0,0,128.00877192982455,216.01413127749848,33.01413127749848,108.00706563874924
177.0,0,128.00877192982455,210.68837103587163,33.688371035871626,105.34418551793581
172.0,0,128.00877192982455,206.28132310786492,34.28132310786492,103.14066155393246
172.0,0,128.00877192982455,206.2693276526753,34.26932765267529,103.13466382633764
162.0,0,128.00877192982455,197.42926086253593,35.429260862535926,98.71463043126796
155.0,0,128.00877192982455,191.20518155405216,36.20518155405216,95.60259077702608
147.0,0,128.00877192982455,184.13778527864497,37.13778527864497,92.06889263932248
141.0,0,128.00877192982455,178.8102814522632,37.81028145226321,89.4051407261316
154.0,0,128.00877192982455,190.32652842522677,36.32652842522677,95.16326421261338
152.0,0,128.00877192982455,188.567410022797,36.56741002279699,94.2837050113985
169.0,0,128.00877192982455,203.61154009948947,34.611540099489474,101.80577004974474
180.0,0,128.00877192982455,213.35480799995116,33.35480799995116,106.67740399997558
185.0,0,128.00877192982455,217.7950932564112,32.79509325641121,108.8975466282056
186.0,0,128.00877192982455,218.6588637270404,32.6588637270404,109.3294318635202
183.0,0,128.00877192982455,216.02034371704866,33.02034371704866,108.01017185852433
183.0,0,128.00877192982455,215.99796468102636,32.99796468102636,107.99898234051318
179.0,0,128.00877192982455,212.48052665213132,33.48052665213132,106.24026332606566
177.0,0,128.00877192982455,210.70203306180483,33.702033061804826,105.35101653090241
176.0,0,128.00877192982455,209.79056253161698,33.790562531616985,104.89528126580849
174.0,0,128.00877192982455,208.03675167797766,34.03675167797766,104.01837583898883
173.0,0,128.00877192982455,207.16759286963574,34.16759286963574,103.58379643481787
173.0,0,128.00877192982455,207.16045391595128,34.16045391595128,103.58022695797564
169.0,0,128.00877192982455,203.6128517144636,34.6128517144636,101.8064258572318
167.0,0,128.00877192982455,201.8544413421959,34.85444134219591,100.92722067109796
164.0,0,128.00877192982455,199.17219656843136,35.17219656843136,99.58609828421568
163.0,0,128.00877192982455,198.29131971675446,35.29131971675446,99.14565985837723
160.0,0,128.00877192982455,195.67742040843086,35.67742040843086,97.83871020421543
159.0,0,128.00877192982455,194.74333185510736,35.74333185510736,97.37166592755368
157.0,0,128.00877192982455,193.00188415972212,36.001884159722124,96.50094207986106
156.0,0,128.00877192982455,192.10754566650374,36.10754566650374,96.05377283325187
155.0,0,128.00877192982455,191.243212162224,36.24321216222401,95.621606081112
155.0,0,128.00877192982455,191.21789950601416,36.21789950601416,95.60894975300708
